timestep	normalized_wasserstein	kl_divergence
0	2.056564	1.622851
1	1.539318	0.826661
2	2.113070	0.721233
3	1.657999	0.603824
4	1.570236	0.517647
5	1.534932	0.491203
6	1.477416	0.415319
7	1.360301	0.383378
8	1.262068	0.347722
9	1.173833	0.347484
10	1.215872	0.355847
11	1.339373	0.375549
12	1.269358	0.382013
13	1.261389	0.355144
14	1.197693	0.338286
15	1.268026	0.357827
16	1.166751	0.345141
17	1.149590	0.339953
18	1.182425	0.362762
19	1.258256	0.332610
20	1.208860	0.333472
21	1.048488	0.340672
22	1.054816	0.328445
23	1.063908	0.321626
24	1.062568	0.332270
25	0.988936	0.308576
26	0.951645	0.302827
27	0.905269	0.317672
28	1.056737	0.338560
29	1.012817	0.310954
30	0.879510	0.322160
31	0.997309	0.321611
32	0.909199	0.275962
33	0.939654	0.288175
34	1.010739	0.269204
35	0.915131	0.321481
36	0.835694	0.335073
37	0.742643	0.310097
38	0.908515	0.317617
39	0.810823	0.294564
40	0.857863	0.292928
41	0.878997	0.302973
42	0.868750	0.332463
43	0.843150	0.332025
44	0.873540	0.302431
45	0.873617	0.280755
46	0.737497	0.290599
47	0.797947	0.329619
48	0.859206	0.294905
49	0.764448	0.317958
50	0.753843	0.305579
51	0.825259	0.294818
52	0.754108	0.283566
53	0.761925	0.275899
54	0.780359	0.299831
55	0.725542	0.275334
56	0.715963	0.283070
57	0.691384	0.294098
58	0.642500	0.282062
59	0.594194	0.252352
60	0.672546	0.244551
61	0.675248	0.306967
62	0.685227	0.281159
63	0.677267	0.270056
64	0.683776	0.258987
65	0.628390	0.280101
66	0.682834	0.266225
67	0.676070	0.293525
68	0.560272	0.274421
69	0.582340	0.286220
70	0.554128	0.279684
71	0.574198	0.276313
72	0.683141	0.274310
73	0.644308	0.323778
74	0.692284	0.248682
75	0.606422	0.252696
76	0.566934	0.255184
77	0.653377	0.285865
78	0.570993	0.280855
79	0.604368	0.288454
80	0.647572	0.312231
81	0.560313	0.237602
82	0.553703	0.253516
83	0.538888	0.284864
84	0.585227	0.270789
85	0.566716	0.296465
86	0.525277	0.256972
87	0.577450	0.258066
88	0.563638	0.258331
89	0.506636	0.280411
90	0.496821	0.291587
91	0.527479	0.275954
92	0.517491	0.262741
93	0.464903	0.269582
94	0.511427	0.276719
95	0.481872	0.271028
96	0.495866	0.266678
97	0.489266	0.264681
98	0.507693	0.267253
99	0.447768	0.279050
